failed_attempts,short_interval,unknown_device,unusual_hour,password_match,label
0,1,0,0,1,0
0,1,1,0,1,1
1,1,0,0,0,1
2,1,0,0,0,1
3,1,0,0,0,2
0,1,0,0,1,0
1,1,0,0,0,1
1,1,1,0,1,1
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,1,0,1,1
1,1,1,1,0,2
1,1,0,1,1,1
1,1,0,0,0,1
1,1,0,0,1,0
0,1,0,0,1,0
1,1,0,0,0,1
2,1,0,0,0,1
3,1,0,0,0,2
3,1,0,0,1,1
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
1,1,1,0,0,2
2,1,0,0,0,1
2,1,0,0,1,0
0,1,0,0,1,0
1,1,1,0,0,2
1,1,0,0,1,0
1,1,0,0,0,1
2,1,0,0,0,1
3,1,0,0,0,2
